Reaction_Type,Metal,Support,Promoter,Preparation_Method,Metal_Loading_wt%,Temperature_C,Pressure_bar,GHSV_h-1,H2_CO_Ratio,Activity,Selectivity,Stability,TOF_s-1,Activation_Energy_kJ_mol
ammonia-synthesis,Pd,BEA,K2O,Hydrothermal,11.06,863.4,44.6,21775.0,2.52,0.4023,0.3622,0.7228,1.52,116.2
dry-reforming,Rh,SAPO-34,BaO,Hydrothermal,3.35,569.2,29.0,22031.0,1.35,0.487,0.4964,0.8829,5.91,132.6
syngas-to-ethanol,Zn,ZrO2,None,Deposition-precipitation,0.53,275.5,31.7,37208.0,0.99,0.5076,0.3995,0.6662,17.05,74.7
syngas-to-ethanol,Ce,TiO2,La2O3,Ion-exchange,24.61,422.8,63.5,19938.0,3.03,0.5116,0.5025,0.7833,15.96,173.0
ethanol-to-jet,Ru,MOF-5,Rb2O,Impregnation,13.18,100.6,22.5,20290.0,2.82,0.5589,0.5508,0.6989,17.7,42.6
syngas-to-ethanol,Ru,CeO2,Li2O,Ion-exchange,6.99,476.2,37.8,6859.0,1.57,0.6811,0.7134,0.9715,93.25,175.8
methanol-synthesis,Cr,BEA,None,Sputtering,11.29,128.0,63.9,14221.0,1.35,0.5266,0.5372,0.6775,16.43,67.2
dry-reforming,Mo,Al2O3,None,Impregnation,22.82,180.7,14.2,22008.0,3.92,0.4868,0.4936,0.99,4.9,163.5
ethanol-to-jet,Co,ZrO2,La2O3,Sputtering,18.64,673.3,89.1,26876.0,2.68,0.4822,0.4806,0.625,2.46,107.0
co2-reduction,Cu,HZSM-5,Na2O,Deposition-precipitation,1.09,382.3,40.1,5474.0,2.03,0.9392,0.99,0.8088,16.19,85.2
dehydrogenation,Rh,MgO,La2O3,Flame-spray,2.27,233.3,11.3,39910.0,1.14,0.6472,0.5365,0.6781,13.72,131.3
methanol-synthesis,Mn,CeO2,K2O,Electrodeposition,6.38,113.6,16.8,4420.0,1.32,0.5529,0.6165,0.4781,12.95,159.2
water-gas-shift,Pd,SBA-15,Na2O,Hydrothermal,13.7,329.7,43.9,17235.0,1.02,0.621,0.5275,0.7102,2.98,45.9
co2-reduction,Mn,MOF-5,Rb2O,Impregnation,5.96,761.5,63.9,44897.0,3.15,0.3719,0.4374,0.5438,7.08,83.1
ethanol-to-jet,W,C,La2O3,Hydrothermal,5.53,767.6,57.1,19271.0,2.16,0.4619,0.4468,0.5309,4.36,114.0
methanol-synthesis,Rh,CNT,BaO,Co-precipitation,24.78,731.6,16.0,41219.0,2.38,0.4049,0.4514,0.4246,2.25,120.3
co2-reduction,Mn,Al2O3,La2O3,Deposition-precipitation,13.33,443.5,28.7,33300.0,2.34,0.648,0.6352,0.6424,22.57,124.8
hydrogenation,Mo,C,K2O,Deposition-precipitation,9.73,198.8,76.4,3226.0,3.62,0.4426,0.4099,0.6948,2.56,145.3
syngas-to-ethanol,Au,MgO,Li2O,Sol-gel,2.63,246.8,3.2,44816.0,2.97,0.5421,0.4441,0.5051,16.67,83.5
ammonia-synthesis,Au,MgO,K2O,Electrodeposition,2.5,261.5,83.4,45609.0,3.56,0.6119,0.6432,0.693,51.44,86.6
co2-reduction,Mo,C,None,Ion-exchange,2.45,246.4,32.9,20697.0,3.18,0.5392,0.5658,0.8401,6.31,106.5
ammonia-synthesis,Cr,SAPO-34,SrO,Sputtering,21.85,262.5,78.2,44362.0,3.31,0.4846,0.4986,0.6101,13.6,66.5
ethanol-to-jet,Cu,BEA,La2O3,Deposition-precipitation,3.4,226.6,53.7,4071.0,4.0,0.5162,0.4247,0.5132,10.74,58.1
water-gas-shift,Ru,MCM-41,BaO,Flame-spray,9.1,675.9,22.1,26501.0,1.47,0.5259,0.5302,0.4444,13.97,65.2
water-gas-shift,Fe,SiO2,Cs2O,Sol-gel,15.83,802.4,77.3,27357.0,2.0,0.3223,0.3177,0.5401,4.49,90.4
ammonia-synthesis,Au,MOF-5,BaO,Sol-gel,8.98,384.5,77.5,11035.0,0.96,0.6934,0.6125,0.8882,14.0,97.6
syngas-to-ethanol,Mn,TiO2,La2O3,ALD,15.13,563.4,91.1,45484.0,1.77,0.519,0.5676,0.6567,26.38,126.1
ethanol-to-jet,Sn,Graphene,SrO,Sol-gel,17.17,132.8,72.1,10955.0,2.2,0.5437,0.4849,0.483,4.06,169.9
ammonia-synthesis,Ce,CNT,K2O,Impregnation,7.24,547.7,33.3,16423.0,2.2,0.6098,0.735,0.9634,7.3,101.9
co2-reduction,In,SBA-15,CaO,Sol-gel,19.24,242.4,3.9,27224.0,2.83,0.8127,0.8239,0.6375,10.74,162.4
dry-reforming,Sn,ZrO2,Rb2O,ALD,11.45,311.1,86.4,7031.0,1.09,0.6387,0.6743,0.8063,15.09,154.5
water-gas-shift,Rh,MgO,CaO,Flame-spray,1.92,654.3,55.8,13263.0,1.37,0.5221,0.463,0.6388,6.71,70.2
syngas-to-ethanol,Sn,C,Rb2O,ALD,6.93,717.6,12.1,34889.0,1.47,0.475,0.5209,0.9042,10.42,104.5
dry-reforming,Rh,Graphene,K2O,Hydrothermal,7.98,282.5,30.5,18513.0,1.3,0.6461,0.7465,0.8381,50.94,134.5
dry-reforming,Zn,MgO,Na2O,Electrodeposition,19.48,217.6,79.6,10132.0,3.49,0.5337,0.5999,0.6375,13.08,55.6
dry-reforming,W,TiO2,SrO,Flame-spray,20.31,628.1,33.7,33293.0,2.28,0.5312,0.4547,0.4343,1.44,78.3
hydrogenation,Cr,HZSM-5,None,Ion-exchange,9.12,570.5,74.1,29616.0,1.46,0.58,0.6204,0.7926,2.98,89.2
methanol-synthesis,Mo,MCM-41,CaO,Ion-exchange,23.08,289.1,61.0,24038.0,1.63,0.5272,0.4769,0.8602,5.27,161.8
biomass-to-hmf,W,ZrO2,Rb2O,Electrodeposition,22.59,730.9,27.6,45136.0,3.24,0.4079,0.4186,0.647,1.16,110.6
ethanol-to-jet,Mn,C,Rb2O,Co-precipitation,6.81,871.0,83.8,14068.0,2.88,0.3438,0.3031,0.5222,25.59,74.2
dry-reforming,Ti,ZrO2,La2O3,Ion-exchange,13.91,376.2,75.3,35959.0,2.85,0.5702,0.5573,0.8073,11.65,164.3
water-gas-shift,Co,TiO2,BaO,Ion-exchange,5.9,865.6,39.2,42591.0,2.85,0.3401,0.3659,0.7536,17.34,139.0
methanol-synthesis,Cu,MCM-41,Li2O,Sputtering,2.29,739.3,88.8,48247.0,3.38,0.3393,0.3159,0.4881,0.81,50.3
methanol-synthesis,V,ZrO2,Cs2O,Flame-spray,17.21,398.9,83.2,46672.0,1.73,0.6554,0.6431,0.7146,0.48,121.5
co2-reduction,Ru,Graphene,None,Deposition-precipitation,22.64,823.3,35.2,47923.0,1.32,0.3084,0.2921,0.6027,1.77,105.1
co2-reduction,Au,MCM-41,Cs2O,Flame-spray,10.23,232.2,5.0,26204.0,3.24,0.6885,0.8123,0.7997,12.74,107.7
dehydrogenation,Fe,TiO2,None,Electrodeposition,2.74,250.4,59.9,40875.0,2.6,0.5369,0.4668,0.5902,13.41,49.2
syngas-to-ethanol,Sn,Graphene,Li2O,Sputtering,9.91,565.1,9.0,30515.0,3.12,0.5305,0.4785,0.7707,3.23,99.3
dry-reforming,Mo,SBA-15,Cs2O,Impregnation,15.64,410.4,95.6,1173.0,1.56,0.6227,0.5384,0.5845,15.46,43.1
ammonia-synthesis,Cu,CeO2,Na2O,Flame-spray,3.98,403.6,5.5,37166.0,1.22,0.6051,0.5512,0.5248,8.39,60.9
ethanol-to-jet,Sn,C,Cs2O,Electrodeposition,21.17,713.5,44.6,48328.0,0.67,0.4161,0.3149,0.5399,4.69,36.5
dry-reforming,In,SAPO-34,K2O,Sol-gel,12.51,465.2,76.8,10950.0,1.92,0.6738,0.6647,0.801,21.85,117.3
syngas-to-ethanol,W,MCM-41,BaO,Deposition-precipitation,14.05,444.0,36.7,35587.0,3.26,0.7414,0.6704,0.9557,32.22,106.2
hydrogenation,Au,SBA-15,Na2O,Impregnation,22.39,445.8,37.9,42269.0,1.29,0.6835,0.607,0.7052,24.71,91.8
hydrogenation,Mo,SiO2,Rb2O,Ion-exchange,2.28,118.9,63.7,10811.0,1.57,0.5244,0.5282,0.5436,7.59,147.3
water-gas-shift,Pt,Graphene,K2O,Co-precipitation,20.47,755.9,12.3,12293.0,1.17,0.3415,0.2808,0.8435,0.5,162.6
hydrogenation,Sn,BEA,La2O3,Deposition-precipitation,14.65,596.1,15.0,26583.0,1.07,0.5864,0.6054,0.6437,16.68,94.4
methanol-synthesis,W,CeO2,BaO,Hydrothermal,19.61,554.7,66.0,29215.0,1.47,0.5667,0.5737,0.7813,5.48,30.3
ethanol-to-jet,V,BEA,Na2O,Co-precipitation,13.32,709.6,11.5,36190.0,3.03,0.3712,0.3269,0.4592,3.27,171.8
methanol-synthesis,In,ZrO2,None,Deposition-precipitation,0.66,516.3,12.6,20346.0,1.09,0.4973,0.4714,0.6587,7.44,116.5
water-gas-shift,Zn,BEA,Li2O,Sol-gel,14.75,427.7,75.6,36790.0,3.47,0.7496,0.7302,0.8182,20.99,171.5
ethanol-to-jet,W,MCM-41,Rb2O,ALD,24.59,202.1,22.1,31012.0,0.69,0.5105,0.4889,0.5771,9.09,83.0
co2-reduction,Ag,BEA,SrO,Sol-gel,22.57,158.3,99.3,8870.0,1.8,0.862,0.9111,0.8206,16.31,59.2
biomass-to-hmf,V,MOF-5,CaO,Sol-gel,11.11,153.7,30.7,3176.0,2.74,0.6507,0.6615,0.7007,9.12,37.1
hydrogenation,V,MCM-41,BaO,Electrodeposition,2.15,405.6,49.5,6838.0,1.78,0.5598,0.5737,0.8823,2.37,97.2
ethanol-to-jet,Cr,CNT,Li2O,ALD,0.7,809.1,19.1,1340.0,3.79,0.3788,0.426,0.7197,13.09,102.6
methanol-synthesis,Zn,CeO2,Rb2O,Hydrothermal,7.22,865.4,50.1,16262.0,0.57,0.505,0.5735,0.6955,2.83,177.6
co2-reduction,Ce,SAPO-34,Cs2O,Flame-spray,22.27,231.9,95.5,27422.0,1.97,0.5852,0.5206,0.6769,1.76,88.5
ammonia-synthesis,Pd,CeO2,BaO,ALD,19.38,716.4,45.2,27697.0,3.29,0.411,0.5168,0.4651,29.84,80.7
ethanol-to-jet,Ce,SBA-15,Rb2O,Co-precipitation,18.86,821.2,77.8,31351.0,0.68,0.2682,0.2439,0.5744,41.15,166.5
methanol-synthesis,W,C,K2O,Impregnation,20.22,191.7,63.7,36829.0,2.04,0.5431,0.4267,0.7095,4.94,180.0
hydrogenation,In,BEA,La2O3,ALD,17.51,252.8,9.5,35052.0,0.84,0.436,0.3693,0.6823,11.87,140.9
methanol-synthesis,Ni,CNT,BaO,Deposition-precipitation,24.75,349.5,19.1,4070.0,3.99,0.682,0.8133,0.4871,6.32,104.5
ethanol-to-jet,V,SiO2,BaO,Impregnation,2.34,889.1,62.2,28031.0,2.21,0.3762,0.3461,0.5182,17.88,122.0
syngas-to-ethanol,In,SBA-15,None,Hydrothermal,22.09,406.7,89.9,31979.0,2.4,0.5714,0.5857,0.7444,1.09,105.2
syngas-to-ethanol,Cu,SBA-15,SrO,Hydrothermal,10.34,325.7,32.2,40404.0,2.43,0.7107,0.6942,0.8163,18.77,59.1
biomass-to-hmf,Cu,C,Rb2O,ALD,8.48,435.4,11.7,35748.0,2.6,0.5831,0.6145,0.8016,38.65,172.3
co2-reduction,Ti,SiO2,K2O,Sputtering,21.45,507.4,43.3,11327.0,1.16,0.4936,0.492,0.8394,3.99,115.3
biomass-to-hmf,Ni,MOF-5,K2O,Sol-gel,6.1,177.9,43.0,2841.0,1.27,0.558,0.5924,0.7261,4.97,97.6
dehydrogenation,Ni,Graphene,Na2O,ALD,12.77,173.7,91.9,17569.0,2.96,0.5853,0.6246,0.756,25.63,59.9
methanol-synthesis,Pd,SiO2,Cs2O,Co-precipitation,8.61,481.9,34.6,37429.0,0.52,0.6022,0.5104,0.5058,1.29,131.8
biomass-to-hmf,In,CNT,CaO,Sputtering,21.19,555.6,4.8,49107.0,3.65,0.6473,0.6224,0.8605,10.7,134.7
co2-reduction,Ru,CeO2,K2O,Sol-gel,11.26,604.5,4.8,29134.0,2.98,0.6761,0.7937,0.6629,7.01,163.4
biomass-to-hmf,Pt,BEA,Li2O,Hydrothermal,23.75,486.8,96.8,23433.0,2.76,0.6392,0.6554,0.4542,4.8,172.4
dry-reforming,Sn,ZrO2,None,Impregnation,17.19,259.6,49.6,32749.0,1.3,0.5637,0.5881,0.7917,12.32,113.6
water-gas-shift,Mo,C,La2O3,Impregnation,17.82,103.4,39.4,29283.0,2.91,0.5987,0.6719,0.577,24.55,44.6
ammonia-synthesis,Pd,SBA-15,SrO,Flame-spray,14.57,278.7,39.2,28625.0,2.71,0.6454,0.706,0.7351,27.81,70.3
co2-reduction,Ru,HZSM-5,CaO,Electrodeposition,15.21,433.0,45.8,10810.0,1.87,0.7057,0.7761,0.5532,13.07,125.8
hydrogenation,W,MOF-5,Cs2O,Flame-spray,23.87,191.8,90.0,12835.0,2.51,0.5663,0.6433,0.495,16.29,52.4
dehydrogenation,In,SBA-15,Rb2O,Hydrothermal,18.48,785.3,73.0,35969.0,1.16,0.4069,0.2917,0.5149,17.98,50.0
dry-reforming,Rh,TiO2,La2O3,Deposition-precipitation,3.76,158.2,8.6,39280.0,3.47,0.5562,0.652,0.59,18.71,105.3
co2-reduction,Ag,ZrO2,Na2O,Co-precipitation,12.35,315.5,63.0,39706.0,1.43,0.99,0.99,0.7251,2.48,65.3
water-gas-shift,Mo,MCM-41,BaO,Hydrothermal,6.65,788.8,42.6,11180.0,2.46,0.5694,0.6481,0.6376,46.22,118.5
co2-reduction,Mn,TiO2,Cs2O,Sputtering,9.4,813.1,49.6,29610.0,0.89,0.4714,0.4593,0.7224,9.35,148.3
co2-reduction,Ni,MCM-41,BaO,Co-precipitation,5.98,286.3,1.0,11330.0,1.37,0.7278,0.7219,0.9079,1.58,145.5
methanol-synthesis,Ti,SAPO-34,BaO,Ion-exchange,17.18,194.6,92.5,48435.0,0.91,0.5771,0.5487,0.7517,0.38,62.6
dehydrogenation,W,BEA,BaO,Sol-gel,8.96,142.8,8.5,39281.0,3.42,0.7463,0.693,0.7021,14.27,98.0
ammonia-synthesis,Mn,MCM-41,BaO,ALD,3.85,261.3,98.2,2694.0,3.21,0.5079,0.539,0.6783,3.0,140.8
ethanol-to-jet,In,SiO2,La2O3,Flame-spray,18.26,318.0,11.5,49032.0,1.46,0.5813,0.704,0.8179,23.85,32.1
water-gas-shift,Cu,Al2O3,CaO,Electrodeposition,20.11,598.4,18.3,45433.0,1.94,0.5367,0.4377,0.8042,0.66,171.6
water-gas-shift,In,SBA-15,None,Deposition-precipitation,3.3,788.8,37.4,36652.0,1.2,0.2623,0.3407,0.5693,3.47,39.3
ammonia-synthesis,Pd,BEA,La2O3,Deposition-precipitation,8.65,164.7,39.3,28887.0,0.66,0.6317,0.7501,0.7151,4.93,44.1
dry-reforming,Ag,SiO2,SrO,Sputtering,10.14,190.8,23.6,23308.0,1.13,0.5937,0.5681,0.7111,21.94,121.8
methanol-synthesis,Ti,MOF-5,None,Sol-gel,24.99,657.8,14.7,32917.0,1.21,0.5738,0.528,0.752,1.7,71.7
biomass-to-hmf,Zn,HZSM-5,None,Flame-spray,1.47,268.1,78.7,1470.0,1.86,0.4644,0.4415,0.6666,0.08,92.6
dehydrogenation,Ce,ZrO2,La2O3,Electrodeposition,15.6,311.1,64.9,34416.0,2.94,0.6062,0.5657,0.8553,2.45,105.0
water-gas-shift,Cu,ZrO2,K2O,ALD,22.0,314.1,18.8,20398.0,0.98,0.6194,0.581,0.4738,10.58,87.6
co2-reduction,Ce,SAPO-34,SrO,Hydrothermal,0.51,658.0,48.8,17279.0,1.4,0.5435,0.6621,0.5661,0.41,98.8
water-gas-shift,V,BEA,SrO,Impregnation,7.3,235.1,100.0,31424.0,3.18,0.5674,0.5996,0.6194,4.95,67.8
methanol-synthesis,Ti,SBA-15,None,Hydrothermal,5.76,469.9,11.8,26301.0,3.05,0.7242,0.7109,0.7693,10.82,132.7
methanol-synthesis,Zn,Al2O3,Na2O,Ion-exchange,10.17,361.9,79.1,12034.0,2.85,0.9081,0.9483,0.9185,8.53,40.8
water-gas-shift,Ni,SiO2,Li2O,Hydrothermal,22.26,187.3,18.5,19208.0,0.93,0.5076,0.5419,0.9103,7.84,146.7
dry-reforming,Ru,C,Li2O,Electrodeposition,20.09,664.5,19.2,38109.0,3.32,0.5663,0.5069,0.4688,12.05,158.5
dry-reforming,Au,TiO2,Cs2O,Deposition-precipitation,15.61,110.1,9.3,5334.0,2.8,0.4792,0.5709,0.5213,15.42,152.7
biomass-to-hmf,Ag,BEA,Li2O,Impregnation,14.67,766.7,66.0,48114.0,2.42,0.4115,0.3128,0.6706,20.51,116.5
hydrogenation,Ni,HZSM-5,SrO,Hydrothermal,11.3,506.3,97.6,31864.0,0.69,0.5346,0.5079,0.795,5.7,113.8
syngas-to-ethanol,V,SAPO-34,BaO,Sol-gel,12.47,131.5,21.6,34555.0,1.09,0.6423,0.5943,0.5514,40.52,132.1
syngas-to-ethanol,Cu,Al2O3,SrO,Co-precipitation,1.35,525.5,60.6,6541.0,2.83,0.6474,0.6916,0.8489,31.78,106.5
co2-reduction,Ru,HZSM-5,Rb2O,Flame-spray,20.93,701.3,82.3,19897.0,3.67,0.3591,0.4072,0.5426,2.89,52.5
ammonia-synthesis,Pd,TiO2,SrO,Ion-exchange,12.49,160.7,91.7,9850.0,2.22,0.7227,0.7564,0.4805,23.72,151.7
co2-reduction,Ti,MCM-41,Na2O,Electrodeposition,24.17,617.3,14.3,27680.0,1.67,0.5872,0.634,0.593,42.74,55.5
ammonia-synthesis,Mn,Graphene,Li2O,Co-precipitation,22.32,693.4,78.3,25775.0,2.32,0.4816,0.4628,0.5465,8.0,157.8
hydrogenation,Ce,SAPO-34,Li2O,Sol-gel,22.13,417.7,27.4,42788.0,1.72,0.6186,0.651,0.9061,42.73,170.4
biomass-to-hmf,Ru,SBA-15,K2O,Hydrothermal,6.36,716.1,16.4,5301.0,3.07,0.3747,0.3481,0.5105,7.45,124.0
methanol-synthesis,Cu,C,BaO,Impregnation,19.03,884.6,66.3,15760.0,3.43,0.3343,0.2273,0.4274,6.66,125.0
syngas-to-ethanol,Ti,BEA,K2O,Electrodeposition,2.98,741.7,27.7,5409.0,1.17,0.3504,0.3769,0.6695,6.34,75.3
biomass-to-hmf,Sn,BEA,Rb2O,ALD,4.03,781.9,100.0,34260.0,3.08,0.413,0.4312,0.5432,11.5,68.8
syngas-to-ethanol,Fe,C,La2O3,Sol-gel,3.59,753.3,61.7,33477.0,3.27,0.3518,0.3451,0.6318,2.3,128.5
ammonia-synthesis,Fe,TiO2,Cs2O,Ion-exchange,14.84,760.1,82.5,9090.0,2.37,0.7432,0.6928,0.5956,19.86,141.9
biomass-to-hmf,Sn,MOF-5,Rb2O,Flame-spray,3.57,466.8,33.1,23522.0,0.59,0.5981,0.6738,0.6337,2.06,148.4
water-gas-shift,Cr,MgO,La2O3,Electrodeposition,16.25,398.2,43.1,45553.0,1.47,0.5052,0.5276,0.7896,0.86,34.6
co2-reduction,Sn,SAPO-34,None,Ion-exchange,5.68,727.2,64.7,27100.0,1.75,0.4372,0.4793,0.5923,5.87,144.0
water-gas-shift,Ni,Graphene,None,Ion-exchange,3.8,306.6,56.8,21049.0,1.34,0.5036,0.4585,0.6768,7.23,99.3
hydrogenation,W,SBA-15,None,Ion-exchange,19.97,789.5,28.0,46568.0,3.72,0.4122,0.3876,0.5901,16.1,102.1
water-gas-shift,Ru,CeO2,Cs2O,Sol-gel,0.85,448.5,45.2,13936.0,1.02,0.7248,0.5337,0.8477,28.61,169.3
water-gas-shift,Au,C,CaO,Sol-gel,20.04,659.8,92.4,25007.0,2.23,0.498,0.5644,0.614,1.53,113.2
methanol-synthesis,Ag,Graphene,Cs2O,Co-precipitation,10.6,246.2,13.0,38623.0,3.71,0.6076,0.6611,0.6409,5.44,40.8
syngas-to-ethanol,Fe,Graphene,Rb2O,Ion-exchange,7.68,537.2,45.7,18839.0,3.42,0.5684,0.6022,0.7554,14.72,86.6
syngas-to-ethanol,Co,MOF-5,Li2O,Ion-exchange,13.86,496.2,69.4,28135.0,0.92,0.7221,0.719,0.659,19.07,40.7
dehydrogenation,W,Graphene,La2O3,Impregnation,4.11,372.9,1.3,26883.0,3.58,0.6369,0.6254,0.7578,9.33,91.1
methanol-synthesis,W,Graphene,Na2O,Co-precipitation,10.7,755.9,20.4,13374.0,1.04,0.4113,0.3289,0.614,0.85,59.3
biomass-to-hmf,Co,C,None,Deposition-precipitation,4.92,522.9,21.6,1855.0,3.77,0.4884,0.4733,0.816,6.58,87.6
co2-reduction,Co,CeO2,Cs2O,Hydrothermal,16.74,219.5,59.2,13091.0,2.96,0.5253,0.5615,0.6734,6.31,62.5
hydrogenation,Ni,CeO2,La2O3,Sol-gel,19.84,507.5,56.9,8283.0,1.06,0.5151,0.5598,0.8728,0.21,171.1
syngas-to-ethanol,In,ZrO2,K2O,Impregnation,20.1,225.8,98.5,44837.0,1.5,0.5402,0.5021,0.6878,12.86,87.1
water-gas-shift,In,MgO,Cs2O,Electrodeposition,4.13,594.3,97.0,31464.0,2.45,0.4601,0.5627,0.5968,18.26,68.4
water-gas-shift,Pt,HZSM-5,None,ALD,13.27,484.3,83.4,5002.0,1.55,0.6038,0.6268,0.6661,6.1,100.4
co2-reduction,Au,MgO,BaO,Flame-spray,5.37,523.9,2.1,43715.0,3.8,0.5844,0.4684,0.6693,0.02,58.1
methanol-synthesis,Ag,SBA-15,None,Sputtering,15.39,761.9,79.6,21321.0,1.07,0.2462,0.3029,0.4554,12.34,30.7
syngas-to-ethanol,Pt,Graphene,Li2O,Impregnation,3.4,686.7,24.6,12465.0,1.73,0.5586,0.5248,0.5107,31.43,160.8
ammonia-synthesis,Zn,Al2O3,La2O3,Flame-spray,7.22,576.2,20.6,3858.0,2.04,0.5978,0.6705,0.6762,0.52,49.4
ammonia-synthesis,Au,SBA-15,BaO,Hydrothermal,8.82,268.1,38.6,6853.0,1.81,0.6488,0.7118,0.8086,0.54,30.4
biomass-to-hmf,Rh,HZSM-5,CaO,ALD,8.04,265.8,9.7,28284.0,2.91,0.5051,0.4773,0.6267,18.13,110.8
dry-reforming,W,Graphene,Na2O,Co-precipitation,4.36,583.5,3.2,18278.0,0.65,0.5114,0.4903,0.5982,5.43,125.6
dry-reforming,W,ZrO2,La2O3,ALD,13.33,448.4,83.7,30307.0,3.75,0.6677,0.6241,0.5642,24.21,82.8
hydrogenation,Ru,MCM-41,Cs2O,Sputtering,19.34,640.9,40.5,49817.0,1.95,0.566,0.6167,0.5162,12.24,72.2
hydrogenation,Cu,SBA-15,Na2O,ALD,1.35,824.6,45.2,22311.0,2.73,0.3982,0.3848,0.6555,15.21,102.5
syngas-to-ethanol,Pt,MOF-5,BaO,Ion-exchange,14.14,517.3,21.8,49511.0,3.11,0.5629,0.5893,0.99,15.64,62.5
syngas-to-ethanol,Mo,SAPO-34,La2O3,Deposition-precipitation,19.81,547.4,74.5,34930.0,3.44,0.5416,0.6124,0.5696,4.81,138.9
methanol-synthesis,Ru,C,Cs2O,Sol-gel,23.27,736.0,13.5,42417.0,2.77,0.4693,0.4645,0.5885,3.93,106.8
ethanol-to-jet,Cr,MCM-41,Rb2O,Ion-exchange,6.31,762.4,25.1,35928.0,2.69,0.43,0.4136,0.7874,7.5,135.5
co2-reduction,Co,MOF-5,BaO,Co-precipitation,14.61,842.2,83.0,32051.0,3.17,0.4262,0.3466,0.5744,20.39,134.1
ammonia-synthesis,W,ZrO2,CaO,Sol-gel,13.46,325.9,48.5,34369.0,2.94,0.5886,0.6566,0.6922,11.9,169.1
dehydrogenation,Mn,BEA,Na2O,Sputtering,6.65,808.4,49.0,49787.0,1.06,0.3815,0.4206,0.5035,17.74,35.4
co2-reduction,In,SiO2,Na2O,Sputtering,2.53,795.1,57.0,42005.0,3.1,0.6363,0.6969,0.6927,10.29,64.4
ethanol-to-jet,Mo,CNT,Rb2O,Ion-exchange,10.5,661.0,63.7,19619.0,0.86,0.6736,0.6568,0.5791,28.43,43.3
co2-reduction,Ru,CeO2,Li2O,Hydrothermal,13.91,841.9,65.8,49309.0,2.97,0.4731,0.4681,0.5484,3.46,140.4
biomass-to-hmf,Co,SiO2,SrO,Electrodeposition,6.13,161.3,84.2,25451.0,2.23,0.5443,0.5389,0.8457,2.52,78.9
methanol-synthesis,Pt,ZrO2,None,Ion-exchange,17.04,351.5,29.9,33478.0,0.9,0.5782,0.4664,0.6877,12.85,154.1
biomass-to-hmf,Ru,TiO2,Cs2O,Impregnation,1.95,228.0,9.7,49418.0,2.24,0.491,0.4876,0.6926,5.66,108.7
methanol-synthesis,Ce,HZSM-5,SrO,Flame-spray,1.17,812.6,77.5,3777.0,1.51,0.5113,0.57,0.687,0.69,92.7
ethanol-to-jet,In,MgO,BaO,ALD,22.74,846.4,72.2,37049.0,1.37,0.34,0.3934,0.5589,34.39,91.6
hydrogenation,Pt,C,None,ALD,3.02,647.1,36.4,25797.0,3.29,0.8715,0.99,0.6177,29.06,62.7
ammonia-synthesis,W,SiO2,Rb2O,Deposition-precipitation,19.35,725.2,38.4,10987.0,1.77,0.287,0.2257,0.5993,9.69,81.7
dry-reforming,W,Graphene,SrO,Sputtering,5.73,721.3,12.7,47161.0,3.75,0.4263,0.3601,0.504,10.58,30.6
dehydrogenation,Co,SiO2,Cs2O,Flame-spray,13.8,798.1,6.1,12217.0,2.68,0.4375,0.3313,0.6911,36.52,81.1
co2-reduction,Zn,HZSM-5,La2O3,Flame-spray,12.53,601.4,7.7,5239.0,2.81,0.5447,0.6097,0.6913,2.24,66.9
ethanol-to-jet,Rh,SiO2,Cs2O,Electrodeposition,7.25,362.2,9.7,43438.0,0.83,0.708,0.8081,0.7469,6.91,106.2
methanol-synthesis,Fe,CNT,Rb2O,ALD,10.47,158.9,28.8,29727.0,0.5,0.5176,0.4224,0.7367,62.33,112.8
hydrogenation,Au,MOF-5,Cs2O,Deposition-precipitation,12.58,346.0,57.7,28354.0,1.44,0.6226,0.6974,0.75,22.87,66.1
hydrogenation,Cu,MCM-41,La2O3,Deposition-precipitation,7.96,316.8,54.6,31445.0,0.82,0.6847,0.7191,0.6421,11.45,147.8
ammonia-synthesis,Sn,TiO2,Na2O,Flame-spray,18.99,707.6,61.0,7779.0,3.61,0.3756,0.3989,0.5856,13.93,33.5
ethanol-to-jet,Ce,TiO2,SrO,Ion-exchange,16.29,301.2,82.2,39389.0,0.72,0.5623,0.5419,0.7898,24.9,84.7
dry-reforming,Co,ZrO2,Li2O,Co-precipitation,20.8,175.0,89.6,7729.0,3.91,0.4718,0.4487,0.6824,2.61,130.5
ethanol-to-jet,V,BEA,K2O,Deposition-precipitation,17.64,489.9,66.2,40871.0,2.2,0.4953,0.5022,0.8254,8.64,48.8
hydrogenation,Sn,Al2O3,None,Sol-gel,12.38,835.8,23.4,14126.0,2.94,0.3077,0.3786,0.5188,2.53,135.3
water-gas-shift,Pd,SAPO-34,Rb2O,Co-precipitation,23.42,721.6,59.6,47689.0,1.55,0.4136,0.3599,0.5316,14.23,101.4
hydrogenation,Zn,TiO2,BaO,ALD,19.77,613.5,86.2,16134.0,2.37,0.636,0.6719,0.7224,19.42,77.1
biomass-to-hmf,Ce,Graphene,CaO,Electrodeposition,3.24,421.9,53.5,2005.0,3.29,0.6971,0.6809,0.7402,14.9,142.6
biomass-to-hmf,Pd,CeO2,K2O,Hydrothermal,19.23,827.3,98.8,17272.0,3.42,0.3806,0.3479,0.43,4.07,54.5
